weather_code,temperature_2m_max,temperature_2m_mean,sunshine_duration,precipitation_sum,rain_sum,wind_speed_10m_max,label
63,31,24.9,33224.84,20.6,20.6,16.3,la nina
65,30.2,25.1,22994.6,10.9,10.9,13,la nina
53,30.1,25.5,27612.7,1.7,1.7,8.7,la nina
63,29.1,25.4,20388.78,6.9,6.9,9.9,la nina
63,30.4,25.3,35931.55,11.4,11.4,7.4,la nina
63,30.4,25.3,29147.35,6.1,6.1,6.7,la nina
63,30.6,25,23161.36,11.5,11.5,11.5,la nina
51,30.8,26.1,32896.69,1.4,1.4,8.2,la nina
55,30.4,25.6,27188.8,3.2,3.2,9.1,la nina
63,30.3,25.4,27007.07,10.1,10.1,8.7,la nina
63,26.8,23.8,14400,14.3,14.3,13.9,la nina
63,25.6,23.9,11434.66,22,22,9.1,la nina
63,28.5,24.7,28266.95,22.5,22.5,7.6,la nina
61,30.1,24.9,28359.84,4.3,4.3,9.7,la nina
63,30.4,25.1,26600.19,10.5,10.5,11.2,la nina
63,29.2,24.6,13640.62,18.6,18.6,7.5,la nina
63,29.2,24.7,30719.73,10.1,10.1,10.7,la nina
53,31,25.4,29876.02,3.2,3.2,13.4,la nina
63,28.8,25.1,19998.93,7.7,7.7,9.7,la nina
63,27.9,24.4,15535.89,15,15,12.4,la nina
53,30.2,25.4,26625.18,2.7,2.7,10.3,la nina
51,31.9,26.3,39671.03,0.8,0.8,7.9,la nina
61,30.9,25.8,35923.25,5.1,5.1,9.3,la nina
63,30.7,24.9,15862.77,14.2,14.2,10.2,la nina
63,30.8,25,25200,15.1,15.1,12.5,la nina
63,29.6,25,24981.96,11.8,11.8,9.3,la nina
61,29.5,24.4,15728.42,10,10,11.5,la nina
51,29.8,25.3,23868.46,0.7,0.7,8.1,la nina
3,30.8,26.1,34037.12,0,0,5.2,la nina
51,31.8,26.3,39342.17,0.4,0.4,5.4,la nina
51,31.5,26.4,31847.52,1.1,1.1,9.7,la nina
51,32,26.5,40320.24,0.9,0.9,8.6,la nina
63,31.6,25.8,39639.54,19,19,10.3,la nina
63,31,25.8,34640.16,7,7,7.6,la nina
63,29.7,24.8,23450.03,32,32,7.1,la nina
65,30.5,25.6,26122.19,18,18,8,la nina
63,30.6,25.5,26385.22,17.6,17.6,10.9,la nina
63,29,25,11969.74,7.1,7.1,9.6,la nina
63,30.7,26,41162.54,16.7,16.7,16.9,la nina
63,30.1,25.4,32708.12,10.9,10.9,9.8,la nina
63,30.3,25.3,28835.32,22.9,22.9,14.9,la nina
63,26.9,24.3,11392.8,11.6,11.6,7.1,la nina
61,28.7,25.3,21273.41,3.9,3.9,7,la nina
63,30.6,25.9,29894.1,5,5,7.2,la nina
65,32.1,26.1,37130.36,32.2,32.2,13.2,la nina
63,26.7,24.1,3993.14,17.3,17.3,8,la nina
65,31.1,25.3,32700.46,14,14,11.2,la nina
65,31.8,25.8,37388.8,16.9,16.9,13.5,la nina
